CODIGO CRM,VERSÃO,Descrição,Valor Teto
BA00000003019,0, [GEBR] - GESTÃO EFICIENTE PARA BARES E RESTAURANTES,
BA00000002994,0, [GEBR] - GESTÃO EFICIENTE PARA BARES E RESTAURANTES - ATENDIMENTO COLETIVO,
BA00000002482,0, [GEBR] - GESTÃO EFICIENTE PARA BARES E RESTAURANTES - FINANÇAS,
BA00000003258,0, [GEBR] - GESTÃO EFICIENTE PARA BARES E RESTAURANTES - MARKETING,
BA00000002503,0, [GEBR] - GESTÃO EFICIENTE PARA BARES E RESTAURANTES - OPERAÇÕES E PROCESSOS,
BA00000002485,0, [GEBR] - GESTÃO EFICIENTE PARA BARES E RESTAURANTES - PESSOAS,
BA00000002480,0, [GEBR] - GESTÃO EFICIENTE PARA BARES E RESTAURANTES - PLANEJAMENTO,
BA00000003840,0, [INOVAÇÃO ABERTA] Bem-estar e satisfação no trabalho (CP47_2024),
BA00000003907,0, [INOVAÇÃO ABERTA] Boas Práticas na produção de Queijo (CP54_2024),
BA00000003762,0, [INOVAÇÃO ABERTA] Comportamento organizacional para gráficas e comunicação visual (CP35_2024),
BA00000003802,0, [INOVAÇÃO ABERTA] Comunicação e Oratória (CP41_2024),
BA00000003757,0, [INOVAÇÃO ABERTA] Estratégias comerciais para empresas gráficas e de comunicação visual (CP36_2024),
BA00000003904,0, [INOVAÇÃO ABERTA] Estratégias de acesso a novos mercados para produtores de queijo (CP53_2024),
BA00000003818,0, [INOVAÇÃO ABERTA] Estratégias de vendas digitais para o segmento de alimentos e bebidas (CP44_2024),
BA00000003841,2, [INOVAÇÃO ABERTA] Gestão Financeira para produtores rurais (CP46_2024),
BA00000003841,0, [INOVAÇÃO ABERTA] Gestão Financeira para produtores rurais (CP46_2024),
BA00000003845,0, [INOVAÇÃO ABERTA] Inteligência artificial no marketing digital (CP49_2024),
BA00000003799,0, [INOVAÇÃO ABERTA] Jornada do cliente (CP40_2024),
BA00000003831,0, [INOVAÇÃO ABERTA] Melhores práticas de gestão de convênios médicos (CP48_2024),
BA00000003758,0, [INOVAÇÃO ABERTA] Técnicas de produção para indústrias de bebidas (CP37_2024),
BA00000003796,0, [INOVAÇÃO ABERTA] Técnicas de vendas com foco no digital (CP39_2024),
BA00000003876,0, [INOVAÇÃO ABERTA] Tráfego pago para redes sociais (CP51_2024),
BA00000003816,0, [INOVAÇÃO ABERTA] Transformando desafios em oportunidades no setor de saúde (CP43_2024),
BA00000003888,0, [INOVAÇÃO ABERTA] Trilha pré-aceleração para empreendedoras (CP50_2024),
BA00000003087,0, [LAB SEBRAE] - Conteúdos que vendem no Instagram,
BA00000003092,0, [LAB SEBRAE] Anúncios Patrocinados – Como Criar Anúncios e Impulsionar,
BA00000003093,0, [LAB SEBRAE] Canva - Como Ser o Design da sua Empresa,
BA00000003095,0, [LAB SEBRAE] Encantamento de Clientes - Técnicas de venda e Conversão,
BA00000003132,0, [LAB SEBRAE] Entendendo Métricas e Monitorando Meus Resultados,
BA00000003130,0," [LAB SEBRAE] Instagram: Bio, Hashtags e Conteúdo",
BA00000003094,0, [LAB SEBRAE] Lab Copywriting – O Poder da Escrita na Criação de Conteúdo,
BA00000003131,0, [LAB SEBRAE] Minha Empresa no Google Meu Negócio,
BA00000003133,0, [LAB SEBRAE] Usando o WhatsApp Business no Meu Negócio,
BA00000003134,0, [LAB SEBRAE] Utilizando Gatilhos Mentais na Sua Estratégia de Marketing,
BA00000003096,0, [LAB SEBRAE] Vídeos Estratégicos Comerciais - Vídeos que Vendem,
BA00000002267,1, [S] Adequação à Norma ABNT NBR 16170:2013 - Qualidade do Pão tipo Francês,"R$ 7.490,00"
BA00000002527,2, [S] Adequação à norma ABNT NBR ISO 15189:2015 - Laboratórios Clínicos,"R$ 20.000,00"
BA00000002375,1, [S] Adequação à norma ABNT NBR ISO 22000:2019 - Sistemas de Gestão da Segurança de Alimentos,"R$ 29.960,00"
BA00000002212,2, [S] Adequação à norma ABNT NBR ISO 9001:2015 - Sistema de Gestão da Qualidade,"R$ 13.600,00"
BA00000002320,1," [S] Adequação à norma ABNT NBR ISO 9001:2015 - Sistema de Gestão da Qualidade - Petróleo, Gás e Sistemistas da Indústria (Setor Petróleo)","R$ 20.544,00"
BA00000003082,1, [S] Adequação à Norma ABNT NBR ISO IEC 17025:2017 - Requisitos Gerais para a competência de Laboratórios de Ensaio e Calibração,"R$ 18.000,00"
BA00000002364,1, [S] Adequação à norma ABNT NBR ISO IEC 20000-1:2020 - Tecnologia da Informação - Gestão de Serviços,"R$ 17.120,00"
BA00000002362,1, [S] Adequação à norma Rainforest Alliance para Agricultura Sustentável (RAS) - Cadeia de Custódia,"R$ 8.774,00"
BA00000002363,1, [S] Adequação à norma Rainforest Alliance para Agricultura Sustentável (RAS) - Código de Conduta,"R$ 14.338,00"
BA00000002216,2, [S] Adequação à Regulamentação da Produção Orgânica,"R$ 8.100,00"
BA00000002256,1, [S] Adequação à série de normas ABNT NBR ISO 12647 - Tecnologia gráfica - Provas digitais,"R$ 12.444,00"
BA00000002318,1, [S] Adequação ao Programa Brasileiro da Qualidade e Produtividade do Habitat (PBQP-H),"R$ 16.692,00"
BA00000002872,0, [S] Adequação às Boas Práticas de Beneficiamento em Casas de Mel,"R$ 4.000,00"
BA00000002800,1," [S] Adequação às Normas ABNT NBR ISO 21101:2014, 21102:2021 E 21103:2014 - Turismo de Aventura - Sistema de Gestão de Segurança, Líderes e Informações aos Participantes","R$ 30.000,00"
